id_theme;sous_matiere_app;theme;nb_questions_associees;sessions;types_questions;score_priorite_provisoire;niveau_priorite;resume;points_cles;pieges;statut
THEME_VIRO_DIAGNOSTIC_SEROLOGIE;Virologie;Diagnostic virologique et sérologies;4;S1;QCM;90;Ultra prioritaire;Plusieurs questions testent l’usage des IgM, IgG, avidité, PCR et marqueurs directs/indirects.;"IgM; IgG; avidité; PCR; sérologie rubéole grossesse; EBV VCA/EBNA; CMV; ARN VHC";"Prendre une IgM comme preuve suffisante; confondre marqueur de diagnostic et marqueur de suivi";Non vu
THEME_VIRO_RESPIRATOIRE_EMERGENCE;Virologie;Virus respiratoires et émergents;3;S1;QCM;78;Haute;Rougeole, grippe et virus à ARN émergents sont présents dans le bloc.;"Rougeole très contagieuse; 2 doses vaccin; grippe ARN segmenté; hémagglutinine; oiseaux réservoir; virus ARN et émergence";"Sous-estimer rougeole; inverser neuraminidase et hémagglutinine";Non vu
THEME_PARA_CANDIDEMIE;Parasitologie-Mycologie;Candidémie;8;S1;"QCM;Cas clinique";96;Ultra prioritaire;Thème central du bloc : candidémie chez neutropénique, hémoculture positive, facteurs de risque, bilan d’extension et traitement.;"Hémoculture positive; Candida; cathéters; antibiothérapie large spectre; neutropénie; échographie cardiaque; fond d’œil; retrait cathéter; antifongiques systémiques; caspofungine";"Confondre candidémie et aspergillose; oublier l’ablation du cathéter; utiliser des traitements non adaptés comme terbinafine ou cotrimoxazole";Non vu
THEME_PARA_ASPERGILLOSE;Parasitologie-Mycologie;Aspergillose pulmonaire invasive;6;S1;"QCM;Cas clinique";95;Ultra prioritaire;Thème très présent dans la deuxième partie du cas : patient neutropénique, signes pulmonaires, LBA, galactomannane/PCR, A. fumigatus, contamination aérienne et voriconazole.;"Lavage broncho-alvéolaire; antigène galactomannane; PCR Aspergillus; Grocott; Aspergillus fumigatus; voie aérienne; voriconazole";"Confondre galactomannane et mannane; confondre contamination aérienne Aspergillus et flore endogène Candida; croire que caspofungine est le traitement de première intention";Non vu
THEME_PARA_LEVURES_FILAMENTEUX;Parasitologie-Mycologie;Levures et champignons filamenteux;4;S1;QCM;88;Très haute;Le bloc teste plusieurs fois la distinction entre Candida, Cryptococcus, Malassezia, Aspergillus, Trichophyton et Pneumocystis.;"Candida levure; Cryptococcus levure; Malassezia levure; Aspergillus filamenteux; Trichophyton dermatophyte; bourgeonnement; MALDI-TOF";"Mélanger levures, dermatophytes et filamenteux; oublier les propositions neutralisées";Non vu
THEME_PARA_ANTIFONGIQUES;Parasitologie-Mycologie;Antifongiques;3;S1;QCM;90;Ultra prioritaire;Le cas oppose échinocandines et azolés, avec caspofungine pour candidémie et voriconazole pour aspergillose invasive.;"Caspofungine; échinocandine; inhibition paroi; candidémie; voriconazole; azolé; voie IV/orale";"Confondre caspofungine et voriconazole; associer voriconazole à la pneumocystose";Non vu
THEME_NOSO_AES;Transversal-Nosocomial;AES;3;S1;QCM;95;Ultra prioritaire;Thème très rentable : examens chez la personne source, facteurs de risque de transmission et prévention des accidents d’exposition au sang.;"Sérologie VIH; Ag HBs; sérologie VHC; profondeur blessure; charge virale source; sang sur aiguille; conteneur objets piquants; gants; matériel usage unique";"Inclure l’herpès; recapuchonner l’aiguille; oublier la charge virale source";Non vu
THEME_NOSO_BMR_BHRE;Transversal-Nosocomial;BMR et BHRe;4;S1;QCM;96;Ultra prioritaire;Thème central du bloc nosocomial : définition des BHRe, BMR, EBLSE, précautions Contact et résistance aux antibiotiques.;"EPC; ERV; EBLSE; précautions Contact; colonisation digestive; résistance antibiotique; pression antibiotique; voyages; transmission croisée";"Confondre BMR et BHRe; croire que BMR résistent aux SHA; traiter une colonisation digestive";Non vu
THEME_NOSO_HYGIENE_MAINS;Transversal-Nosocomial;Hygiène des mains et précautions standard;4;S1;QCM;95;Ultra prioritaire;Très représenté : friction hydro-alcoolique, bijoux, gants, SHA, précautions standard, mains souillées.;"FHA; absence de bijoux; tablier soins mouillants; gants liquides biologiques; friction après gants; lavage si mains souillées; efficacité sur BMR/BHRe";"FHA sur mains souillées; penser que SHA favorisent les BMR; oublier alliance/bijoux";Non vu
THEME_NOSO_PRECAUTIONS_COMPLEMENTAIRES;Transversal-Nosocomial;Précautions complémentaires Contact Air Gouttelettes;3;S1;QCM;90;Ultra prioritaire;Thème utile pour différencier précautions standard, Contact, Air et situations ne nécessitant pas d’isolement complémentaire.;"Gale Contact; zona Contact selon situation; BHRe Contact; rougeole Air; tuberculose pulmonaire bacillifère Air; hépatite C/paludisme = standard";"Sur-isoler un patient; confondre Contact et Air; oublier tuberculose/rougeole en Air";Non vu
THEME_NOSO_IAS_ISO;Transversal-Nosocomial;IAS et infections du site opératoire;3;S1;QCM;88;Très haute;Thème sur les définitions des IAS et ISO, manifestations, chirurgie propre, germes, prothèse et prévention.;"IAS; infection nosocomiale; acte diagnostique; ISO; écoulement cicatrice; signes inflammatoires; organe; staphylocoques; durée préopératoire";"Réduire IAS à l’hôpital; oublier infections sur prothèse; dire que contamination endogène est rare";Non vu
THEME_NOSO_CATHETERS;Transversal-Nosocomial;Cathéters et infections associées;2;S1;QCM;90;Ultra prioritaire;Thème fréquent : prévention et diagnostic des infections liées aux cathéters.;"Limiter pose; asepsie rigoureuse; pus point ponction = retrait; même bactérie cathéter/hémoculture; délai positivité cathéter vs périphérie";"Mettre en culture tous les cathéters retirés; surveillance seulement hebdomadaire; négliger le différentiel de positivité";Non vu
THEME_NOSO_IU_SONDAGE;Transversal-Nosocomial;Infections urinaires nosocomiales et sondage;1;S1;QCM;82;Haute;QCM classique sur les infections urinaires nosocomiales et le rôle du sondage urinaire.;"Première cause fréquente; sondage; durée du sondage; 48h après geste; 24h après retrait; colonisation urétrale";Dire que le risque n’augmente pas avec la durée du sondage;Non vu
THEME_VIRO_CMV_DUP2;Virologie;CMV;2;S2;QCM;90;Ultra prioritaire;CMV revient en session 2 avec transmission mère-enfant et sera à relier aux questions CMV de session 1.;"Transmission pendant grossesse; accouchement; allaitement; pas uniquement primo-infection; grossesse; transplanté; PCR quantitative";"Croire que seule la primo-infection transmet; confondre diagnostic grossesse et suivi transplanté";Non vu
THEME_VIRO_RESPIRATOIRE;Virologie;Virus respiratoires;4;S2;QCM;86;Très haute;Thème large incluant SARS-CoV-2, rotavirus, bronchiolite à VRS et entérovirus selon les syndromes.;"RT-PCR nasopharyngée; test antigénique; VRS bronchiolite; rotavirus nourrisson; méningite entérovirus; RT-PCR LCR";"Utiliser sérologie trop tôt; confondre diarrhée virale et invasive; confondre VRS et influenza";Non vu
THEME_VIRO_HERPESVIRUS_DUP2;Virologie;Herpesvirus HSV VZV EBV CMV;5;S2;QCM;95;Ultra prioritaire;Plusieurs questions testent HSV-2, VZV, EBV et CMV : encéphalite, mononucléose, grossesse et lésions génitales.;"HSV-1 encéphalite; HSV-2 lésion génitale; PCR sur lésion; VZV encéphalite; EBV VCA/EBNA; CMV mère-enfant";"Utiliser sérologie HSV au lieu de PCR lésion; confondre EBV avec CMV; oublier VZV dans encéphalites";Non vu
THEME_VIRO_VIH_DUP2;Virologie;VIH;1;S2;QCM;88;Très haute;VIH est testé dans les questions individuelles sur confirmation et suivi, puis sera renforcé par le cas clinique virologie.;"Western blot; ARN VIH plasmatique; réplication virale; dépistage vs confirmation vs suivi";"Confondre ELISA, Western blot et charge virale; croire que les anticorps apparaissent à 6 mois";Non vu
THEME_VIRO_HPV;Virologie;HPV;1;S2;QCM;78;Haute;Question classique sur papillomavirus, persistance, cancers et vaccination.;"ADN non enveloppé; infection persistante; cancers ORL et génitaux; vaccins HPV";Croire que les vaccins couvrent tous les HPV oncogènes ou que la transmission est uniquement sexuelle;Non vu
THEME_BACT_TUBERCULOSE_DUP2;Bactériologie;Tuberculose;1;S2;QCM;88;Très haute;La tuberculose revient en session 2 avec agents, contagiosité, traitement initial et résistances.;"Mycobacterium tuberculosis; Mycobacterium bovis; forme pulmonaire contagieuse; association antituberculeux; résistances";"Oublier M. bovis; croire qu’il n’existe pas de résistance";Non vu
THEME_BACT_DIAGNOSTIC_BASES;Bactériologie;Bases de microbiologie et diagnostic;4;S2;QCM;86;Très haute;Bloc de bases : microbiotes, Gram, ECBU et seuil quantitatif d’expectoration.;"Gram; peptidoglycane; microbiote cutané; anaérobies intestinaux; ECBU; bacilles Gram négatif; seuil UFC/ml";"Confondre Gram et capsule; mal interpréter ECBU; oublier les seuils quantitatifs";Non vu
THEME_BACT_INFECTIONS_DIGESTIVES;Bactériologie;Infections digestives bactériennes;1;S2;QCM;78;Haute;Shigellose testée comme diarrhée invasive glairo-sanglante possiblement liée au voyage.;"Shigella; diarrhée glairo-sanglante; processus invasif; voyage";Confondre diarrhée invasive et toxinique;Non vu
THEME_BACT_URINAIRE;Bactériologie;Infections urinaires;1;S2;QCM;78;Haute;ECBU de femme jeune testant l’interprétation des bacilles Gram négatif et diagnostics probables.;"Escherichia coli; Proteus mirabilis; leucocyturie; bacilles Gram négatif; hématurie possible";"Reprélever à tort à cause d’hématies; oublier Proteus";Non vu
THEME_PARA_BASES_PARASITO;Parasitologie-Mycologie;Bases de parasitologie;4;S2;QCM;86;Très haute;Questions générales sur parasites, hyperéosinophilie, gale, leishmanioses et risques liés aux végétaux crus.;"Protozoaires; helminthes; hyperéosinophilie; anguillulose; filarioses; bilharziose; gale; leishmanies; toxoplasmose";"Confondre protozooses et helminthoses; confondre hôte définitif et hôte malade";Non vu
THEME_PARA_ECTOPARASITOSES;Parasitologie-Mycologie;Ectoparasitoses et teignes;3;S2;QCM;78;Haute;Gale, pédiculose et teignes sont présentes sous forme de QCM courts.;"Sarcoptes scabiei; contact direct; galeries; Pediculus capitis; hématophage; teignes; contamination animale";"Associer pédiculose à précarité; croire que le sarcopte est visible à l’œil nu; penser alopécie toujours définitive";Non vu
THEME_PARA_MYCOLOGIE_BASES;Parasitologie-Mycologie;Bases de mycologie;1;S2;QCM;75;Haute;Question générale sur les champignons : eucaryotes, ergostérol et usage alimentaire.;"Eucaryotes; mitochondries; ergostérol; industrie alimentaire";Oublier ergostérol comme caractéristique importante;Non vu
THEME_NOSO_PRECAUTIONS_AIR;Transversal-Nosocomial;Précautions complémentaires Air;1;S2;QCM;86;Très haute;Question transversale très utile sur les pathologies imposant les précautions Air.;"Tuberculose; varicelle; rougeole; transmission aérienne";"Confondre bronchiolite/gouttelettes et Air; oublier varicelle";Non vu
THEME_PARA_PALUDISME;Parasitologie-Mycologie;Paludisme;1;S2;Cas clinique;95;Ultra prioritaire;Cas clinique très rentable : retour de zone d’endémie, diagnostic urgent, frottis/goutte épaisse, Plasmodium ovale, récidive et prévention.;"Frottis/goutte épaisse; délai rapide; Giemsa; sensibilité goutte épaisse; identification par frottis; Plasmodium ovale; Afrique de l’Ouest; hypnozoïtes; prévention anti-moustiques; chimioprophylaxie";"Exclure à tort un nouvel accès sans nouveau voyage; oublier les hypnozoïtes; confondre indication d’hospitalisation et simple résultat positif";Non vu
THEME_BACT_MENINGITE_MENINGOCOQUE;Bactériologie;Méningite bactérienne à méningocoque;1;S2;Cas clinique;95;Ultra prioritaire;Cas clinique complet sur le diagnostic biologique de méningite bactérienne, le méningocoque, le Gram, la transmission, le sérogroupe, la vaccination et la résistance.;"LCR trouble; PNN majoritaires; hypoglycorachie; hyperprotéinorachie; Neisseria meningitidis; diplocoques Gram négatif; gouttelettes; oropharynx; capsule; vaccination; déclaration obligatoire; PLP";"Confondre méningocoque et pneumocoque; oublier la déclaration obligatoire; attribuer la résistance à une bêta-lactamase au lieu des PLP";Non vu
THEME_VIRO_VIH_HEPATITES_HSV;Virologie;VIH hépatites HSV;1;S2;Cas clinique;96;Ultra prioritaire;Cas clinique transversal très rentable : TROD VIH positif, confirmation, suivi, co-infection VHB chronique, sérologie VHC positive et lésion HSV-2.;"ELISA VIH; Ac VIH1/2; Ag p24; Western blot; second prélèvement; déclaration obligatoire; charge virale; Ag HBs; anti-HBc; IgM anti-HBc; ARN VHC; HSV-2; PCR lésion";"Confondre dépistage/confirmation/suivi; oublier ARN VHC; utiliser sérologie HSV au lieu de PCR sur lésion";Non vu
THEME_BACT_TUBERCULOSE_DUP3;Bactériologie;Tuberculose;1;S1;Cas clinique;96;Ultra prioritaire;Cas clinique très complet sur tuberculose maladie : diagnostic, bilan pré-thérapeutique, traitement, isolement, déclaration, dépistage entourage et tuberculose latente.;"Tuberculose maladie; toux; fièvre; amaigrissement; caverne; BAAR; examen mycobactériologique; culture; rifampicine; quadrithérapie; précautions Air; déclaration obligatoire; entourage; tuberculose latente";"Confondre tuberculose latente et maladie; utiliser Quantiféron pour diagnostiquer la maladie active; oublier isolement Air et déclaration obligatoire";Non vu
THEME_BACT_DERMOHYPODERMITE;Bactériologie;Dermohypodermite bactérienne;1;S1;Cas clinique;94;Ultra prioritaire;Cas clinique complet sur dermohypodermite non nécrosante puis nécrosante, avec Streptococcus pyogenes, porte d’entrée mycosique, amoxicilline et urgence chirurgicale.;"Streptococcus pyogenes; cocci Gram+ chaînettes; lymphœdème; obésité; intertrigo; Trichophyton rubrum; amoxicilline; peptidoglycane; AINS à éviter; nécrose; crépitations; chirurgie urgente";"Ne pas reconnaître les signes de nécrose; donner AINS; attendre l’imagerie; oublier la porte d’entrée";Non vu
THEME_PARA_CANDIDEMIE_ASPERGILLOSE;Parasitologie-Mycologie;Candidémie et aspergillose invasive;1;S1;Cas clinique;96;Ultra prioritaire;Cas clinique majeur de mycologie invasive chez neutropénique : candidémie sur cathéters puis suspicion d’aspergillose pulmonaire invasive.;"Candida; hémoculture; cathéter; neutropénie; antibiothérapie large; échographie cardiaque; fond d’œil; caspofungine; Aspergillus; LBA; galactomannane; PCR; Grocott; A. fumigatus; voriconazole";"Confondre Candida et Aspergillus; confondre échinocandine et azolé; oublier que la contamination aspergillaire est aérienne";Non vu
THEME_BACT_INFECTIONS_URINAIRES;Bactériologie;Infections urinaires cystite pyélonéphrite;6;S1;"DP;QCM;QROC";96;Ultra prioritaire;DP très complet : cystite aiguë simple, ECBU, pyélonéphrite, Gram urinaire, E. coli et antibiothérapie probabiliste.;"Cystite simple; fosfomycine-trométamol; ECBU non systématique; ECBU deuxième jet; pyélonéphrite; douleur lombaire; bacilles Gram négatif; Escherichia coli; fluoroquinolones; C3G injectable";"Faire un ECBU de contrôle inutile; traiter une bactériurie asymptomatique; confondre cystite et pyélonéphrite; oublier E. coli comme germe prioritaire";Non vu
THEME_BACT_ECOLI_RESISTANCES;Bactériologie;Escherichia coli résistances et BLSE;3;S1;"DP;QCM";94;Ultra prioritaire;Le DP insiste sur les résistances d’E. coli, l’antibiogramme, la BLSE, la notion de BMR et les précautions Contact.;"E. coli; résistance amoxicilline; fosfomycine faible résistance; BLSE; résistance C3G; BMR; imipénème/méropénème sensibles; précautions Contact";"Confondre BLSE et céphalosporinase; croire que BLSE explique toutes les résistances; oublier isolement Contact";Non vu
THEME_BACT_CDIFFICILE;Bactériologie;Clostridioides difficile post-antibiothérapie;3;S1;"DP;QCM";95;Ultra prioritaire;Cas classique après antibiothérapie large spectre : diarrhée, recherche de toxines, spores résistantes aux SHA et mesures d’hygiène spécifiques.;"Diarrhée post-antibiothérapie; toxines C. difficile; spores; résistance SHA; lavage savon; chambre individuelle; surblouse; précautions Contact";"Demander coproculture standard; oublier les spores; utiliser uniquement SHA; sous-estimer les mesures d’hygiène";Non vu
THEME_VIRO_MENINGITE_VIRALE;Virologie;Méningites virales;4;S1;"DP;QCM;QROC";95;Ultra prioritaire;DP très complet : méningite virale de l’enfant, arguments cliniques, LCS lymphocytaire, protéinorachie modérée et PCR virale.;"LCS lymphocytaire; contexte épidémique; protéinorachie modérée; PCR virale LCS; entérovirus; HSV-2; VZV";"Confondre purpura avec viral; attendre de voir le virus en microscopie; oublier les signes cutanéo-muqueux";Non vu
THEME_VIRO_ENTEROVIRUS;Virologie;Entérovirus;2;S1;"DP;QCM;QROC";92;Ultra prioritaire;Entérovirus au cœur du début du DP : syndrome main-pied-bouche, méningite de l’enfant, transmission féco-orale et abstention thérapeutique possible si méningite simple confirmée.;"Main-pied-bouche; méningite enfant; transmission féco-orale; PCR; formes graves possibles; abstention thérapeutique si forme simple";"Retenir une saisonnalité hivernale stricte; confondre vésicules paumes/plantes avec HSV isolé";Non vu
THEME_VIRO_HSV2_MENINGITE;Virologie;HSV-2 et méningite herpétique;4;S1;"DP;QCM";96;Ultra prioritaire;Le DP insiste sur HSV-2 : vésicules génitales récidivantes, méningite, PCR LCS, latence ganglionnaire et récurrences.;"HSV-2 génital; vésicules génitales; méningite; PCR HSV-2 LCS; récurrences; latence ganglions sensitifs; excrétion asymptomatique";"Croire que les récurrences sont toujours symptomatiques; confondre HSV-1/HSV-2; négliger les vésicules génitales";Non vu
THEME_VIRO_ENCEPHALITE_HERPETIQUE;Virologie;Encéphalite herpétique;2;S1;"DP;QCM";95;Ultra prioritaire;Cas d’encéphalite chez sujet âgé : confusion, aphasie, convulsion, urgence diagnostique et thérapeutique, HSV-1 à rechercher.;"Encéphalite; confusion; troubles du langage; convulsion; HSV-1; LCS parfois normal précoce; urgence; aciclovir";"Attendre la PCR pour traiter; croire que HSV-2 est la principale cause; éliminer si LCS précoce normal";Non vu
THEME_VIRO_ZONA_VZV;Virologie;Zona et VZV neurologique;2;S1;"DP;QCM";90;Ultra prioritaire;Le DP teste le zona en hémi-ceinture et le zona ophtalmique chez le sujet âgé avec risque neurologique.;"VZV; zona; topographie métamérique; ne dépasse pas ligne médiane; branche ophtalmique; encéphalite VZV possible; traitement zona ophtalmique";"Exclure zona avant 50 ans; diagnostiquer encéphalite VZV uniquement par PCR vésicule; oublier le risque ophtalmique";Non vu
THEME_PARA_PALUDISME_FALCIPARUM;Parasitologie-Mycologie;Paludisme à Plasmodium falciparum;10;S1;"DP;QCM;QRU";98;Ultra prioritaire;DP entier consacré au paludisme : fièvre au retour du Mali, diagnostic urgent, P. falciparum, transmission, gravité, traitement de l’accès simple et prévention.;"Fièvre retour zone endémie; recherche paludisme en urgence; P. falciparum; protozoaire; anophèle; globules rouges; phase pré-érythrocytaire; critères de gravité; atovaquone-proguanil; artéméther-luméfantrine; chimioprophylaxie; protection moustiques";"Oublier la recherche de paludisme devant une diarrhée fébrile; confondre phlébotome et anophèle; attribuer les rechutes à P. falciparum; confondre critères de gravité et symptômes banals";Non vu
THEME_PARA_CRITERES_GRAVITE_PALUDISME;Parasitologie-Mycologie;Critères de gravité du paludisme;2;S1;"DP;QCM";95;Ultra prioritaire;Deux questions ciblent directement les critères biologiques et cliniques de gravité du paludisme à P. falciparum.;"Anémie sévère; créatininémie >265 µmol/L; hypoglycémie <2,2 mmol/L; trouble conscience; hémorragie; collapsus circulatoire";"Mettre la CRP comme critère de gravité; confondre diarrhée/douleurs musculaires avec critères de gravité";Non vu
THEME_PARA_TRAITEMENT_PREVENTION_PALUDISME;Parasitologie-Mycologie;Traitement et prévention du paludisme;3;S1;"DP;QCM";95;Ultra prioritaire;Le DP teste le traitement de l’accès simple et les conseils de prévention pour un voyage en zone d’endémie.;"Urgence thérapeutique; association antipaludique; atovaquone-proguanil; artéméther-luméfantrine; chimioprophylaxie; protection moustiques";"Croire que l’accès simple impose toujours IV; traiter 15 jours; confondre prévention paludisme et prévention digestive";Non vu
THEME_NOSO_ANTISEPSIE_HYGIENE;Transversal-Nosocomial;Antisepsie et hygiène des mains;2;S1;"DL;QCM";92;Ultra prioritaire;DL1 teste les antiseptiques, la détersion, les limites des SHA et la prévention des infections associées aux soins.;"Détersion peau souillée; antiseptique alcoolique contre-indiqué plaie; chlorhexidine muqueuses; FHA; SARS-CoV-2; spores C. difficile; gale";"Croire que SHA remplacent toujours lavage; croire antiseptiques inefficaces sur BMR; oublier limites spores/œufs";Non vu
THEME_NOSO_RESISTANCE_BMR;Transversal-Nosocomial;Résistance antibiotique et BMR;2;S1;"DL;QCM";90;Ultra prioritaire;Questions sur consommation antibiotique, rapatriement, portage BMR et risque de résistance.;"Rapatriement; BMR; consommation antibiotiques; France forte consommation; pays à faibles revenus; BHRe";"Croire que BHRe seulement hospitalières; sous-estimer le rapatriement";Non vu
THEME_NOSO_DECLARATION_OBLIGATOIRE;Transversal-Nosocomial;Déclaration obligatoire;1;S1;"DL;QCM";86;Très haute;Question structurante sur signalement, notification, actualisation de la liste et tuberculose à déclaration obligatoire.;"Signalement; notification; ARS; liste actualisée; tuberculose";Croire que DO uniquement si décès;Non vu
THEME_BACT_CUTANEO_MUQUEUSES;Bactériologie;Infections cutanéo-muqueuses;1;S1;"DL;QCM";82;Haute;Question classique sur les principales bactéries des infections cutanéo-muqueuses.;"Streptococcus pyogenes; Staphylococcus aureus; impétigo; érysipèle; infections peau";Confondre avec streptocoques oraux ou pneumocoque;Non vu
THEME_BACT_BETALACTAMASES_SARM;Bactériologie;Bêta-lactamases SARM mecA;2;S1;"DL;QCM";94;Ultra prioritaire;DL1 teste les bêta-lactamases inhibées par acide clavulanique et la résistance mecA/PLP2a du SARM aux bêta-lactamines.;"Moraxella; Staphylococcus aureus; Haemophilus influenzae; amoxicilline-acide clavulanique; mecA; PLP2a; SARM; bêta-lactamines; vancomycine";"Confondre pénicillinase et mecA; cocher vancomycine dans résistance mecA";Non vu
THEME_BACT_RESPIRATOIRE_COMMUNAUTAIRE;Bactériologie;Infections respiratoires communautaires;1;S1;"DL;QCM";82;Haute;Question sur H. influenzae commensal, bronchiolite hivernale et distinction bronchite/coqueluche.;"Haemophilus influenzae; flore commensale; bronchiolite virale; pic hivernal; bronchite; coqueluche";Penser bronchiolite bactérienne ou coqueluche virale;Non vu
THEME_BACT_HEMOCULTURES;Bactériologie;Hémocultures et contamination;1;S1;"DL;QCM";86;Très haute;Question sur cocci Gram positif en amas et distinction contamination/infection.;"Délai de positivité; nouvelle paire hémoculture; identification Staphylococcus aureus; contamination; infection";Confondre facteur de sensibilité hémoculture et argument d’infection;Non vu
THEME_BACT_MENINGITE_ADULTE;Bactériologie;Méningite bactérienne communautaire adulte;1;S1;"DL;QCM";88;Très haute;Question sur les agents communautaires de méningite bactérienne chez l’adulte.;"Neisseria meningitidis; Streptococcus pneumoniae; Listeria monocytogenes";Oublier Listeria selon terrain;Non vu
THEME_BACT_CHLAMYDIA;Bactériologie;Chlamydia trachomatis;1;S1;"DL;QCM";86;Très haute;Question sur Chlamydia trachomatis, IST, infertilité, développement intracellulaire strict et diagnostic PCR.;"IST; infertilité féminine; intracellulaire strict; PCR; antibiogramme non systématique";"La classer comme Gram positif; croire culture indispensable";Non vu
THEME_TRANSVERSAL_GROSSESSE_SEROLOGIES;Transversal-Nosocomial;Sérologies de grossesse;1;S1;"DL;QCM";88;Très haute;Question sur les sérologies obligatoires ou recommandées lors de la déclaration de grossesse.;"Rubéole; Ag HBs; syphilis; toxoplasmose";Inclure listériose comme sérologie de routine;Non vu
THEME_BACT_SALMONELLES_TYPHIQUES;Bactériologie;Salmonelles majeures typhiques;1;S1;"DL;QCM";78;Haute;Question sur Salmonella Typhi et Paratyphi A comme salmonelles majeures responsables de bactériémie.;"Salmonella Typhi; Salmonella Paratyphi A; bactériémie; immunocompétent";Confondre avec Salmonella Enteritidis/Typhimurium non typhiques;Non vu
THEME_BACT_TUBERCULOSE_COMPLEXE;Bactériologie;Complexe Mycobacterium tuberculosis;1;S1;"DL;QCM";86;Très haute;Question sur les agents de tuberculose autres que M. tuberculosis.;"Mycobacterium bovis; Mycobacterium africanum; complexe tuberculosis";Confondre avec mycobactéries atypiques;Non vu
THEME_BACT_MACROLIDES_AMINOSIDES;Bactériologie;Macrolides aminosides et synthèse protéique;2;S1;"DL;QCM";90;Ultra prioritaire;DL1 teste les macrolides et les familles d’antibiotiques inhibant la synthèse protéique.;"Macrolides; érythromycine; Gram positif; synthèse protéique; aminosides";"Confondre macrolides avec bêta-lactamines; confondre synthèse protéique et peptidoglycane";Non vu
