id;annee;session;source_pdf;bloc_annale;sous_matiere_app;type;numero_question;theme;sous_theme;question_resume;propositions_resume;reponse;correction_source;explication_courte;piege;priorite_provisoire;statut
QCM_2021_S1_BACT_011;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;11;Tuberculose multirésistante;Géographie de la résistance;QCM sur les zones où la tuberculose multirésistante est principalement retrouvée.;A Afrique subsaharienne | B Chine | C Afrique du Nord | D Europe de l’Est | E Amérique centrale;BD;correction_pdf;La tuberculose multirésistante est classiquement particulièrement problématique en Chine et en Europe de l’Est.;Mettre toutes les zones de forte incidence tuberculeuse sans distinguer multirésistance.;Très haute;Non vu
QCM_2021_S1_BACT_012;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;12;Diagnostic bactériologique;Diagnostic direct vs indirect;QCM sur diagnostic direct, culture, biologie moléculaire et sérologie.;A anticorps = diagnostic direct | B acides nucléiques = diagnostic direct | C culture = diagnostic direct | D biologie moléculaire toujours plus sensible | E sérologie recherche anticorps;BCE;correction_pdf;"Culture et détection d’acides nucléiques relèvent du diagnostic direct ; la sérologie recherche des anticorps et correspond au diagnostic indirect.";Confondre sérologie et diagnostic direct.;Très haute;Non vu
QCM_2021_S1_BACT_013;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;13;Infections digestives;Diagnostic biologique;QCM sur le diagnostic des infections digestives bactériennes : typhoïde, Helicobacter, C. difficile, leucocytes dans les selles, test respiratoire.;A typhoïde par hémoculture | B sérologie contrôle H. pylori | C anticorps anti-toxine B pour C. difficile | D leucocytes selles orientent invasif | E test respiratoire urée pour Campylobacter;AD;correction_pdf;"La fièvre typhoïde se diagnostique souvent par hémoculture ; les leucocytes fécaux orientent vers une bactérie invasive.";Confondre test respiratoire à l’urée pour H. pylori avec Campylobacter.;Haute;Non vu
QCM_2021_S1_BACT_014;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QRU;14;Tuberculose;Épidémiologie mondiale;QRU sur le nombre de nouveaux cas annuels de tuberculose maladie dans le monde.;A 5 millions | B 10 millions | C 30 millions | D 60 millions | E 70 millions;B;correction_pdf;L’ordre de grandeur attendu est environ 10 millions de nouveaux cas par an.;Apprendre l’ordre de grandeur plutôt que les chiffres isolés.;Moyenne;Non vu
QCM_2021_S1_BACT_015;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;15;Pneumonies atypiques;Mycoplasma et Chlamydia pneumoniae;QCM sur les pneumonies à germes atypiques.;A Mycoplasma et Chlamydia pneumoniae | B pneumocoque et Klebsiella | C pas d’antibiothérapie en première intention | D bactéries difficilement cultivables | E amoxicilline systématique;AD;correction_pdf;"Les germes atypiques classiques sont Mycoplasma pneumoniae et Chlamydia pneumoniae ; ils sont difficiles à cultiver.";Confondre pneumonie atypique et pneumonie bactérienne typique à pneumocoque.;Haute;Non vu
QCM_2021_S1_BACT_016;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;16;Familles d’antibiotiques;Mécanismes d’action;QCM sur les familles d’antibiotiques qui inhibent la synthèse protéique bactérienne.;A bêta-lactamines | B glycopeptides | C macrolides | D fluoroquinolones | E aminosides;CE;correction_pdf;"Les macrolides et les aminosides inhibent la synthèse protéique ; bêta-lactamines/glycopeptides ciblent la paroi et fluoroquinolones l’ADN.";Confondre synthèse protéique, paroi et ADN.;Très haute;Non vu
QCM_2021_S1_BACT_017;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;17;Streptococcus pneumoniae;Vaccin et résistance aux bêta-lactamines;QCM sur Streptococcus pneumoniae, vaccins, sensibilité aux bêta-lactamines et otite de l’enfant.;A streptocoque bêta-hémolytique groupe C | B vaccins antigène protéine membranaire | C baisse sensibilité par bêta-lactamase | D baisse sensibilité sans impact habituel sur infections ORL recommandées | E antibiotique recommandé dans OMA enfant <2 ans;DE;correction_pdf;"La baisse de sensibilité du pneumocoque aux bêta-lactamines est liée aux PLP et n’empêche généralement pas l’efficacité des traitements recommandés dans les infections ORL ; l’OMA du jeune enfant peut justifier une antibiothérapie.";Dire que le pneumocoque produit une bêta-lactamase.;Très haute;Non vu
QCM_2021_S1_BACT_018;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;18;Angine à Streptococcus pyogenes;TROD et traitement;QCM sur les angines à Streptococcus pyogenes.;A agent principal des angines enfant | B TROD excellente sensibilité | C toutes les souches entraînent réactions auto-immunes | D amoxicilline-ac clav en première intention | E azithromycine si allergie pénicilline;BE;correction_pdf;Le test rapide a une très bonne sensibilité selon la correction attendue, et l’azithromycine peut être utilisée en cas d’allergie aux pénicillines.;Mettre amoxicilline-acide clavulanique au lieu d’amoxicilline simple en première intention.;Haute;Non vu
QCM_2021_S1_BACT_019;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;19;Pyélonéphrite femme enceinte;Agents bactériens fréquents;QCM sur les bactéries le plus souvent responsables de pyélonéphrite aiguë chez la femme enceinte.;A Streptococcus pyogenes | B Staphylococcus saprophyticus | C Escherichia coli | D Proteus mirabilis | E Pseudomonas aeruginosa;CD;correction_pdf;"E. coli est l’agent majeur des infections urinaires ; Proteus mirabilis est aussi possible.";Ne pas sur-retenir Staphylococcus saprophyticus pour pyélonéphrite de grossesse.;Haute;Non vu
QCM_2021_S1_BACT_020;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;20;Hémocultures;Réalisation et interprétation;QCM sur la réalisation des hémocultures : ensemencement, examen direct, incubation, flacon positif, volume prélevé.;A sang directement ensemencé | B examen direct à l’arrivée au laboratoire | C incubation allongée si suspicion endocardite | D tout flacon positif fait l’objet d’un Gram | E volume de sang important pour sensibilité;ACDE;correction_pdf;"Le sang est directement ensemencé ; le volume prélevé est essentiel ; un flacon positif donne lieu à un Gram ; l’incubation peut être adaptée selon le contexte.";Croire qu’un examen direct est fait dès l’arrivée avant positivité du flacon.;Haute;Non vu
QCM_2021_S1_VIRO_001;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;1;Rougeole;Contagiosité diagnostic et vaccination;QCM sur le virus de la rougeole : contagiosité, formes asymptomatiques, PCR, IgM et vaccination.;A peu contagieux | B souvent asymptomatique | C PCR nasopharyngée positive >3 semaines après éruption | D IgM positives environ 2 mois | E 2 doses de vaccin recommandées;DE;correction_pdf;"La rougeole est très contagieuse ; les IgM peuvent rester positives environ deux mois et deux doses vaccinales sont recommandées.";Sous-estimer la contagiosité de la rougeole ou confondre PCR et sérologie.;Haute;Non vu
QCM_2021_S1_VIRO_002;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;2;VIH;Cellules cibles;QCM sur les types cellulaires ciblés par le VIH.;A monocytes | B macrophages tissulaires | C lymphocytes B | D lymphocytes T CD4 | E lymphocytes T CD8;ABD;correction_pdf;Le VIH cible les cellules exprimant CD4 et co-récepteurs, notamment lymphocytes T CD4, monocytes et macrophages.;Oublier que monocytes et macrophages sont aussi des cibles du VIH.;Très haute;Non vu
QCM_2021_S1_VIRO_003;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;3;CMV;Transplantation rénale et prophylaxie;QCM sur la prise en charge du CMV chez un patient allant être transplanté de rein.;A sérologie CMV avant transplantation | B prophylaxie valganciclovir si receveur négatif donneur positif | C aucun risque si receveur positif | D suivi par PCR CMV quantitative sanguine | E infection toujours asymptomatique;ABD;correction_pdf;La sérologie CMV pré-greffe évalue le risque, le couple donneur positif/receveur négatif justifie une prophylaxie, et le suivi repose sur la PCR quantitative sanguine.;Croire qu’un receveur séropositif ne peut pas réactiver le CMV.;Très haute;Non vu
QCM_2021_S1_VIRO_004;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;4;HSV;Primo-infection latence et excrétion asymptomatique;QCM sur les infections par herpes simplex virus HSV-1 et HSV-2.;A primo-infection inapparente possible | B immunité HSV-1 protège totalement contre HSV-2 | C HSV-1 responsable d’un tiers des infections génitales jeunes femmes | D excrétion contagieuse sans lésion visible | E latence dans ganglions sensitifs;ACDE;correction_pdf;La primo-infection HSV peut être inapparente, HSV-1 peut causer des infections génitales, l’excrétion asymptomatique existe et la latence est ganglionnaire sensitive.;Penser qu’une immunité HSV-1 protège totalement contre HSV-2.;Très haute;Non vu
QCM_2021_S1_VIRO_005;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QRU;5;Rubéole;Grossesse première consultation prénatale;QRU sur les examens obligatoires pendant la grossesse à la première consultation prénatale.;A IgG parvovirus B19 | B IgM parvovirus B19 | C IgG anti-rubéoliques | D IgM anti-rubéoliques | E IgA anti-rubéoliques;C;correction_pdf;La sérologie rubéole avec recherche d’IgG est attendue à la première consultation prénatale.;Confondre dépistage systématique de rubéole et recherche ciblée du parvovirus B19.;Haute;Non vu
QCM_2021_S1_VIRO_006;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;6;Zona;VZV éruption métamérique douloureuse;QCM sur les caractéristiques en faveur d’une étiologie zostérienne d’une éruption.;A aspect purpurique | B siège peau et muqueuses | C bilatérale et symétrique | D douleurs de brûlure | E topographie métamérique;BDE;correction_pdf;"Le zona est typiquement douloureux, à type de brûlure, avec topographie métamérique ; une atteinte cutanéo-muqueuse peut être observée selon la localisation.";Confondre zona avec une éruption bilatérale symétrique.;Haute;Non vu
QCM_2021_S1_VIRO_007;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;7;Grippe;Structure et réservoir;QCM sur le virus de la grippe : ARN segmenté, neuraminidase, hémagglutinine, réservoir et pandémies.;A virus à ARN segmenté | B neuraminidase permet fixation cellule hôte | C hémagglutinine rôle antigénique majeur | D oiseaux sauvages réservoir grippe A | E grippe B à l’origine des pandémies;ACD;correction_pdf;"Le virus grippal a un ARN segmenté ; l’hémagglutinine est antigéniquement majeure et les oiseaux sauvages sont le réservoir de la grippe A.";"Inverser rôle de l’hémagglutinine et de la neuraminidase ; attribuer les pandémies à la grippe B.";Haute;Non vu
QCM_2021_S1_VIRO_008;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;8;Parvovirus B19;Manifestations cliniques;QCM sur les pathologies associées au parvovirus B19.;A polyarthrite petites articulations femme enceinte | B malformation cardiaque congénitale | C mégalérythème épidémique enfant | D crise érythroblastopénique chez thalassémique | E hépatite chronique chez VIH;ACD;correction_pdf;Le parvovirus B19 peut provoquer mégalérythème épidémique, arthralgies/polyarthrite et crise érythroblastopénique chez patients à hémoglobinopathie.;Le confondre avec virus d’hépatite chronique ou virus tératogène cardiaque.;Haute;Non vu
QCM_2021_S1_VIRO_009;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;9;Vésicules orales enfant;HSV et entérovirus;QCM sur les étiologies virales d’éruption vésiculeuse orale chez l’enfant.;A parvovirus B19 | B HHV-6 | C entérovirus | D rougeole | E herpes simplex;CE;correction_pdf;Les entérovirus et HSV peuvent donner des éruptions vésiculeuses orales chez l’enfant.;Mettre rougeole ou parvovirus B19 devant toute éruption pédiatrique.;Haute;Non vu
QCM_2021_S1_VIRO_010;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;10;Fièvres hémorragiques virales;Arbovirus;QCM sur les fièvres hémorragiques virales à arbovirus.;A Ebola neutralisée | B dengue | C fièvre jaune urbaine | D fièvre de Lassa | E West-Nile;BC;correction_pdf;"La dengue et la fièvre jaune urbaine sont des arboviroses pouvant s’inscrire dans le cadre des fièvres hémorragiques virales ; la proposition A est neutralisée dans la correction.";Confondre toutes les fièvres hémorragiques virales avec des arbovirus.;Moyenne;Non vu
QCM_2021_S1_VIRO_011;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;11;Hépatites et VIH;Infections chroniques;QCM sur les virus responsables d’infection chronique.;A VHA | B VHB | C VHC | D VHD | E VIH;BCDE;correction_pdf;"VHB, VHC, VHD et VIH peuvent donner des infections chroniques ; le VHA ne donne pas d’infection chronique.";Inclure à tort le VHA dans les infections chroniques.;Très haute;Non vu
QCM_2021_S1_VIRO_012;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;12;Syndrome mononucléosique;EBV et CMV;QCM sur les virus responsables d’un syndrome mononucléosique lors de la primo-infection.;A entérovirus | B EBV | C CMV | D parvovirus B19 | E grippe;BC;correction_pdf;EBV et CMV sont des causes classiques de syndrome mononucléosique lors de la primo-infection.;Confondre syndrome mononucléosique avec syndrome grippal ou éruptif.;Haute;Non vu
QCM_2021_S1_VIRO_013;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QRU;13;EBV;Sérologie primo-infection;QRU sur le marqueur permettant d’exclure une primo-infection EBV en cours chez un jeune homme fébrile.;A IgM anti-VCA | B IgG anti-VCA | C IgA anti-VCA | D IgG anti-EBNA | E ADN EBV;D;correction_pdf;La présence d’IgG anti-EBNA oriente vers une infection ancienne et exclut une primo-infection EBV en cours.;Confondre IgG anti-VCA et IgG anti-EBNA.;Très haute;Non vu
QCM_2021_S1_VIRO_014;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;14;Transcription inverse;VHB et VIH;QCM sur les virus ayant une étape de transcription inverse sensible aux antiviraux.;A VHA | B VHB | C VHC | D VHD | E VIH;BE;correction_pdf;Le VHB et le VIH comportent une étape de transcription inverse ciblable par certains antiviraux.;Oublier que le VHB utilise une étape de transcription inverse.;Haute;Non vu
QCM_2021_S1_VIRO_015;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;15;CMV;Épidémiologie transmission et réactivation;QCM sur l’infection à cytomégalovirus humain.;A séroprévalence 40-45 pour cent adulte 15-49 ans | B réinfections impossibles | C retrouvé urines sperme salive sécrétions vaginales | D réactivations possibles | E multiplication dans le rein;ACDE;correction_pdf;Le CMV est fréquent, peut être retrouvé dans plusieurs liquides biologiques, se réactiver et se multiplier notamment dans le rein.;Penser que les réinfections par nouvelle souche sont impossibles.;Très haute;Non vu
QCM_2021_S1_VIRO_016;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;16;Fièvre jaune;Flavivirus et arbovirus;QCM sur les caractéristiques du virus de la fièvre jaune.;A arbovirus | B famille Flaviviridae | C fièvre hémorragique virale possible | D transmis par Anophèle femelle | E transmis par Aedes albopictus femelle;ABCE;correction_pdf;"La fièvre jaune est une arbovirose due à un Flaviviridae et peut donner une fièvre hémorragique ; la transmission attendue concerne les moustiques Aedes, pas Anophèle.";Confondre Aedes et Anophèle.;Haute;Non vu
QCM_2021_S1_VIRO_017;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;17;Virus à ARN;Flexibilité génétique et émergence;QCM sur les caractéristiques des virus à ARN.;A grande capacité mutation/recombinaison | B virus gastro-entérites tous ARN | C plus souvent associés aux menaces épidémie/pandémie | D franchissement barrière d’espèce possible | E tous non enveloppés;ACD;correction_pdf;Les virus à ARN ont une forte flexibilité génétique, sont souvent impliqués dans les émergences et certains franchissent la barrière d’espèce.;Dire que tous les virus à ARN sont non enveloppés ou que toutes les gastro-entérites virales sont dues à des ARN.;Haute;Non vu
QCM_2021_S1_VIRO_018;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;18;Arbovirus;Fièvre jaune et West-Nile;QCM sur les maladies dues à des arbovirus.;A SARS-CoV-2 | B érythème infectieux | C fièvre jaune selvatique | D fièvre de Lassa | E encéphalite de West-Nile;CE;correction_pdf;La fièvre jaune selvatique et l’encéphalite de West-Nile sont dues à des arbovirus.;Confondre Lassa ou SARS-CoV-2 avec des arboviroses.;Haute;Non vu
QCM_2021_S1_VIRO_019;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QRU;19;VHC et VHB;Interprétation sérologique et conduite à tenir;QRU sur la conduite à tenir devant AgHBs négatif, anti-HBc négatif, anti-HBs positif et sérologie VHC positive.;A IgM anti-HBc | B IgM anti-VHC | C ARN VHC par RT-PCR | D déclaration ARS | E vaccination VHB;C;correction_pdf;"Une sérologie VHC positive doit être complétée par la recherche de l’ARN du VHC pour savoir s’il existe une infection active ; le profil VHB évoque une immunisation vaccinale.";"Ne pas demander ARN VHC après sérologie positive ; proposer une vaccination VHB malgré anti-HBs positifs.";Très haute;Non vu
QCM_2021_S1_VIRO_020;2020-2021;S1;infectio 20-21 ses 1.pdf;Virologie;Virologie;QCM;20;CMV grossesse;Sérologie IgM avidité et transmission fœtale;QCM sur l’interprétation d’IgM CMV positives pendant la grossesse et le risque fœtal.;A IgM CMV positives ne signent pas toujours primo-infection récente | B avidité des IgG à faire | C avidité forte témoigne primo-infection récente | D transmission fœtale environ 30-40 pour cent si primo-infection maternelle | E aucun risque de séquelles si fœtus infecté;ABD;correction_pdf;"Des IgM CMV positives ne prouvent pas seules une primo-infection récente ; l’avidité IgG aide à dater ; une primo-infection maternelle expose à un risque de transmission fœtale.";Penser qu’IgM positives suffisent à dater une primo-infection récente ou qu’une avidité forte signe une infection récente.;Très haute;Non vu
QCM_2021_S1_PARA_001;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;1;Candidémie;Hémoculture positive à champignon chez neutropénique;QCM sur le diagnostic le plus probable devant une hémoculture positive à champignon chez un patient neutropénique avec cathéters et antibiothérapie large spectre.;A candidose | B infection à Malassezia | C pneumocystose | D histoplasmose | E aspergillose;A;correction_pdf;Une hémoculture positive à champignon dans ce contexte évoque en priorité une candidémie/candidose invasive.;"Aspergillus donne rarement une hémoculture positive ; ne pas confondre candidémie et aspergillose invasive.";Très haute;Non vu
QCM_2021_S1_PARA_002;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;2;Candidémie;Bilan d’extension;QCM sur les examens complémentaires à prescrire dans le bilan d’extension d’une candidémie.;A scanner thoracique | B échographie cardiaque | C galactomannane sérique | D recherche de levure dans le LCR | E fond d’œil;BE;correction_pdf;Le bilan d’extension d’une candidémie recherche notamment une atteinte cardiaque et oculaire.;"Ne pas confondre bilan de candidémie et bilan d’aspergillose ; le galactomannane est surtout lié à Aspergillus.";Très haute;Non vu
QCM_2021_S1_PARA_003;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;3;Candidémie;Facteurs de risque;QCM sur les facteurs de risque généraux de candidémie.;A cathéters intraveineux | B antibiothérapie large spectre | C neutropénie | D infection VIH | E diabète;ABC;correction_pdf;Les cathéters, l’antibiothérapie large spectre et la neutropénie sont des facteurs de risque majeurs de candidémie.;Mettre trop largement VIH/diabète alors que le contexte clé ici est cathéter + ATB large spectre + neutropénie.;Très haute;Non vu
QCM_2021_S1_PARA_004;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;4;Candida;Pathologies fréquentes hors candidémie;QCM sur les pathologies fréquemment induites par Candida en dehors des candidémies.;A vaginite | B intertrigo | C abcès cérébral | D pneumopathie | E atteinte oro-pharyngée;ABE;correction_pdf;Candida donne fréquemment des atteintes muqueuses et cutanées : vaginite, intertrigo, atteinte oro-pharyngée.;Ne pas considérer Candida comme cause fréquente de pneumopathie.;Haute;Non vu
QCM_2021_S1_PARA_005;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;5;Candida;Caractéristiques générales;QCM sur les caractéristiques des Candida spp.;A levures neutralisée | B champignons filamenteux | C dermatophytes | D reproduction par bourgeonnement | E toujours pathogènes;D;correction_pdf;"Dans la correction, A est neutralisée et D est retenue ; les Candida se reproduisent par bourgeonnement et ne sont pas toujours pathogènes.";"Attention à la proposition neutralisée ; ne pas confondre levures, dermatophytes et filamenteux.";Haute;Non vu
QCM_2021_S1_PARA_006;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;6;Levures;Champignons pathogènes levuriformes;QCM demandant quels champignons pathogènes sont des levures.;A Pneumocystis jirovecii neutralisée | B Cryptococcus neoformans | C Aspergillus fumigatus | D Malassezia furfur | E Trichophyton rubrum;BD;correction_pdf;"Dans la correction, A est neutralisée ; Cryptococcus neoformans et Malassezia furfur sont retenus comme levures.";Ne pas confondre Aspergillus et Trichophyton, qui sont des champignons filamenteux/dermatophytes.;Haute;Non vu
QCM_2021_S1_PARA_007;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;7;Candida albicans;Identification et commensalisme;QCM sur les caractéristiques de Candida albicans.;A saprophyte des muqueuses | B espèce de Candida la plus fréquente en pathologie humaine | C ne pousse pas à 37°C | D identification par MALDI-TOF | E non cultivable;ABD;correction_pdf;Candida albicans peut être commensal des muqueuses, est fréquent en pathologie humaine et peut être identifié par spectrométrie de masse MALDI-TOF.;Croire que Candida albicans n’est pas cultivable ou ne pousse pas à 37°C.;Très haute;Non vu
QCM_2021_S1_PARA_008;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;8;Candidémie;Traitement;QCM sur le traitement d’une candidémie.;A ablation des cathéters | B cotrimoxazole per os | C antifongiques systémiques | D corticoïdes | E terbinafine;AC;correction_pdf;Le traitement d’une candidémie repose sur les antifongiques systémiques et le contrôle de la source, notamment l’ablation des cathéters si possible.;"Oublier le retrait du cathéter ; confondre terbinafine/cotrimoxazole avec traitement de candidémie.";Très haute;Non vu
QCM_2021_S1_PARA_009;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;QCM;9;Caspofungine;Échinocandine et candidémie;QCM sur la caspofungine : classe, mécanisme et indications.;A échinocandine | B inhibe la synthèse de la paroi des champignons | C utilisée pour candidémies | D rarement utilisée car très toxique | E traitement de première intention de l’aspergillose invasive;ABC;correction_pdf;La caspofungine est une échinocandine, inhibe la synthèse de la paroi fongique et est utilisée dans les candidémies.;Ne pas confondre candidémie traitée par échinocandine et aspergillose invasive traitée en première intention par voriconazole.;Très haute;Non vu
