id;annee;session;source_pdf;bloc_annale;sous_matiere_app;titre_cas;theme;sous_theme;enonce_resume;questions_resume;correction_resume;points_cles;pieges;priorite_provisoire;statut
CAS_2022_S2_BACT_001;2021-2022;S2;infectio 21_22 ses 2.pdf;Sous-épreuve bactériologie - DP;Bactériologie;Pneumonie sévère communautaire, légionellose groupée puis diarrhée à Clostridioides difficile;Pneumonie bactérienne, Legionella, C. difficile;Pneumopathie sévère, crachat, pneumocoque, Legionella pneumophila, antigénurie, déclaration obligatoire, diffusion intracellulaire, réseau d’eau chaude, C. difficile, métronidazole;Femme de 70 ans hospitalisée en réanimation pour pneumopathie sévère avec fièvre brutale, toux, dyspnée et myalgies. Les tests SARS-CoV-2 et grippe sont négatifs. Un crachat est analysé, puis la patiente s’aggrave sous céphalosporine de 3e génération alors que d’autres habitants du même immeuble présentent le même tableau, orientant vers Legionella pneumophila. Après antibiothérapie hospitalière, elle développe une diarrhée aiguë fébrile évocatrice de Clostridioides difficile.;Interprétation de l’examen de crachat | prélèvement distal pour culture | première étiologie bactérienne des pneumonies communautaires | pneumocoque | pathogènes transitoires oropharyngés | Legionella devant cas groupés | antigénurie et déclaration obligatoire | antibiotique à diffusion intracellulaire | bactéries nécessitant diffusion intracellulaire | source environnementale | diarrhée post-antibiothérapie | traitement attendu C. difficile;Correction PDF : Q1 A, Q2 lavage broncho-alvéolaire / prélèvement distal protégé / LBA, Q3 Streptococcus pneumoniae / pneumocoque, Q4 AB, Q5 BD, Q6 Legionella pneumophila / Legionella spp., Q7 BD, Q8 macrolides / fluoroquinolones / quinolones, Q9 BD, Q10 réseau d’eau chaude / climatisation centrale / air conditionné, Q11 Clostridium difficile, Q12 métronidazole / Flagyl.;Pneumonie communautaire = pneumocoque fréquent | crachat interprété selon PNN/cellules épithéliales/seuils | LBA ou prélèvement distal protégé | Legionella = pneumonie sévère groupée + exposition hydrique + échec C3G | antigénurie utile | déclaration obligatoire | traitement par macrolide ou fluoroquinolone | source = réseau d’eau chaude/climatisation | C. difficile après antibiothérapie | métronidazole attendu dans annale;"Ne pas incriminer automatiquement un germe du crachat sans seuil ; ne pas oublier Legionella devant cas groupés ; ne pas mettre isolement Air pour légionellose ; ne pas traiter Legionella par bêta-lactamine seule ; ne pas oublier C. difficile après antibiothérapie hospitalière.";Très haute;Non vu
CAS_2023_S1_VIRO_001;2022-2023;S1;infectio 22_23 ses 1.pdf;Partie Virologie - DP;Virologie;Bronchiolite à VRS puis gastro-entérite virale du nourrisson;VRS, bronchiolite, gastro-entérites virales;VRS, transmission gouttelettes/manuportée, prélèvements nasopharyngés, tests antigéniques/PCR, rotavirus, norovirus, astrovirus, adénovirus, prélèvement de selles;Nourrisson de 6 mois vu aux urgences pour dyspnée sifflante au troisième jour d’une rhinopharyngite, avec tirage, râles sibilants/crépitants, fièvre et tachypnée, conduisant au diagnostic de bronchiolite. Deux mois plus tard, le même nourrisson présente une diarrhée aqueuse avec vomissements et plusieurs cas similaires à la crèche, orientant vers une gastro-entérite virale.;Agent principal bronchiolite | transmission VRS | autres étiologies virales respiratoires | vaccins disponibles virus respiratoires | prélèvements nasopharyngés | tests diagnostiques VRS | arguments gastro-entérite virale | virus responsables de diarrhées | prélèvement de selles | examens virologiques sur selles | modes de transmission;Correction PDF : Q1 VRS / virus respiratoire syncytial, Q2 AC, Q3 BCDE, Q4 ABE, Q5 AC, Q6 ABC, Q7 ABD, Q8 ABCE, Q9 prélèvement des selles / écouvillonnage rectal / PCR sur selles, Q10 ABCD, Q11 AB.;VRS = cause principale bronchiolite | transmission gouttelettes + contacts manuportés | diagnostic respiratoire = aspiration ou écouvillonnage nasopharyngé | VRS = test antigénique ou PCR | gastro-entérite virale = hiver + nourrisson + collectivité | virus digestifs = norovirus, rotavirus, astrovirus, adénovirus | prélèvement = selles / écouvillonnage rectal | diagnostic = antigène viral ou PCR;"Ne pas confondre virus respiratoires et digestifs ; ne pas utiliser sérologie pour VRS ; ne pas utiliser hémoculture pour diagnostic virologique ; ne pas classer VHA comme cause classique de diarrhée aiguë du nourrisson ; ne pas privilégier la culture virale dans les gastro-entérites courantes.";Très haute;Non vu
CAS_2022_S2_PARA_001;2021-2022;S2;infectio 21_22 ses 2.pdf;Sous-épreuve parasitologie - DP;Parasitologie-Mycologie;Candidémie en réanimation puis dermatophytose cutanée / Malassezia;Candidémie, dermatophytose, Malassezia;Réanimation, chirurgie digestive, cathéters, antibiothérapie large spectre, Candida albicans, identification MALDI-TOF, antifongiques, dermatophytes, Sabouraud, Malassezia;Homme de 65 ans hospitalisé en réanimation après chirurgie digestive lourde, avec fièvre persistante malgré antibiothérapie large spectre et cathéters jugulaire/fémoral. Une infection fongique invasive est suspectée, orientant vers une candidémie. Après traitement, il consulte pour une lésion cutanée annulaire prurigineuse à bordure inflammatoire, évocatrice d’une dermatophytose, puis le cas aborde Malassezia.;Infection fongique invasive probable | facteurs de risque de candidémie | caractéristiques des Candida | espèce la plus fréquente | Candida albicans commensal/pathogène | examens de laboratoire | molécules antifongiques | diagnostic de lésion cutanée | espèces dermatophytes | transmission dermatophytes | diagnostic dermatophytose | Malassezia | confirmation infection cutanée à Malassezia;Correction PDF : Q1 A, Q2 ABC, Q3 AD, Q4 C, Q5 BCE, Q6 ABD, Q7 BD, Q8 C, Q9 BCD, Q10 ABCE, Q11 ACE, Q12 annulée, Q13 AD. Le cas oppose candidémie invasive de réanimation et mycoses cutanées superficielles : dermatophytose et Malassezia.;Candidémie = réanimation + cathéters + antibiothérapie large + chirurgie digestive | Candida albicans fréquent | Candida = levure bourgeonnante | diagnostic = culture, MALDI-TOF, antifongigramme | traitement = fluconazole/échinocandines | dermatophytose = lésion annulaire squameuse | dermatophytes = Trichophyton/Microsporum/Epidermophyton | diagnostic = examen direct + culture Sabouraud | Malassezia = scotch-test/examen microscopique;"Ne pas confondre candidémie et aspergillose ; ne pas utiliser sérologie Candida ; ne pas confondre dermatophytose, candidose et Malassezia ; ne pas classer Malassezia parmi les dermatophytes ; ne pas utiliser la question Malassezia annulée comme mesure fiable de score.";Très haute;Non vu
CAS_2023_S1_BACT_001;2022-2023;S1;infectio 22_23 ses 1.pdf;Partie Bactério-hygiène - DP;Bactériologie;Otite moyenne aiguë compliquée de méningite à pneumocoque puis diarrhée hospitalière;Otite moyenne aiguë, méningite à pneumocoque, vaccins, infection entérique hospitalière;Streptococcus pneumoniae, Haemophilus influenzae, amoxicilline, PLP, pénicillinase, LCS, glycorachie, PCR, test antigénique, céfotaxime, vaccins obligatoires, capsule, virologie des selles, précautions contact;Nourrisson de 2 ans consultant pour fièvre, pleurs, frottement de l’oreille droite et tympan inflammatoire bombé avec collection purulente rétro-tympanique, conduisant au diagnostic d’otite moyenne aiguë. Après échec d’amoxicilline et apparition d’une raideur méningée, une ponction lombaire évoque une méningite bactérienne, puis la culture du LCS est positive à pneumocoque. Le cas aborde ensuite les vaccins obligatoires, le vaccin pneumococcique et une diarrhée hospitalière.;Agents d’OMA | mécanismes de résistance amoxicilline | leucocytes normaux LCS | donnée manquante pour interpréter glycorachie | diagnostic rapide pneumocoque sur LCS | caractéristiques céfotaxime | vaccins obligatoires | structure ciblée vaccin pneumococcique | examen diarrhée hospitalière | mesures d’hygiène infection entérique;Correction PDF : Q1 AC, Q2 ADE, Q3 3/4/5, Q4 glycémie, Q5 PCR / test antigénique, Q6 C, Q7 ABCDE, Q8 capsule, Q9 B, Q10 CE.;OMA = pneumocoque + H. influenzae | pneumocoque = modification PLP | H. influenzae = pénicillinase/PLP selon correction | LCS = leucocytes, glycorachie à interpréter avec glycémie | diagnostic rapide = PCR/test antigénique | céfotaxime = bêta-lactamine C3G | vaccin pneumococcique cible capsule | diarrhée hospitalière = virologie des selles selon correction | infection entérique = chambre seule + tablier soin direct;"Ne pas attribuer une pénicillinase au pneumocoque ; ne pas interpréter la glycorachie seule ; ne pas confondre céfotaxime avec C1G ; ne pas répondre peptidoglycane pour vaccin pneumococcique ; ne pas appliquer automatiquement C. difficile si la correction attend virologie des selles.";Très haute;Non vu
CAS_2023_S1_PARA_001;2022-2023;S1;infectio 22_23 ses 1.pdf;Partie Myco-Parasitologie - DP;Parasitologie-Mycologie;Toxoplasmose et grossesse;Toxoplasmose congénitale;Toxoplasma gondii, kystes, oocystes, IgG, IgM, séroconversion, prévention hygiéno-diététique, PCR liquide amniotique, bilan néonatal, surveillance postnatale;Femme de 25 ans primipare, sans antécédent, consultant pour suivi de grossesse. Une sérologie toxoplasmose est prescrite. Le bilan initial montre une absence d’IgG et d’IgM, donc une absence d’immunité. Une surveillance mensuelle et des mesures hygiéno-diététiques sont proposées. À 20 SA, l’apparition d’IgG et d’IgM conclut à une séroconversion récente, conduisant à une prise en charge materno-fœtale, une amniocentèse avec PCR toxoplasme et un bilan néonatal.;Nature de l’agent | formes contaminantes | caractéristiques de la toxoplasmose | moment de la sérologie initiale | anticorps recherchés | conduite si non immunisée | prévention hygiéno-diététique | transmission et gravité selon terme | prise en charge après séroconversion | bilan néonatal | conclusions et surveillance postnatale;Correction PDF : Q1 A, Q2 kyste / oocystes, Q3 ABD, Q4 premier trimestre, Q5 C, Q6 AD, Q7 ABCD, Q8 CE, Q9 ACE, Q10 ABE, Q11 BCE.;Toxoplasmose = parasite | formes contaminantes = kystes + oocystes | souvent asymptomatique mais grave immunodéprimé/grossesse | sérologie initiale premier trimestre | IgG + IgM | non immunisée = sérologie mensuelle + règles hygiéno-diététiques | prévention = litière avec gants, mains, crudités, viande crue | début grossesse = transmission faible mais gravité élevée | fin grossesse = transmission élevée mais gravité plus faible | séroconversion = échographie + PCR liquide amniotique + traitement/prophylaxie | bilan néonatal = ETF, fond d’œil, sérologies comparatives | surveillance postnatale nécessaire;"Ne pas proposer vaccin anti-toxoplasmose ; ne pas confondre oocyste/kyste avec œuf/larve ; ne pas associer toxoplasmose à une hyperéosinophilie typique ; ne pas inverser transmission et gravité selon le terme ; ne pas arrêter la surveillance si le bilan néonatal initial est négatif.";Très haute;Non vu
CAS_2023_S2_VIRO_001;2022-2023;S2;infectio 22-23 ses 2.pdf;DP Virologie;Virologie;Grossesse non suivie avec découverte d’hépatite B chronique et recherche du virus delta;VHB chronique, grossesse, VHD, séro-vaccination néonatale;Ag HBs, TROD VIH, rubéole, transmission mère-enfant VHB, séro-vaccination, IgM anti-HBc, Ag HBs persistant 6 mois, ADN VHB, Ag HBe, anti-HBe, hépatite D, vaccin VHB;Jeune femme de 25 ans originaire d’Afrique sub-saharienne, enceinte au dernier trimestre d’une grossesse non suivie, arrivant aux urgences à 21h30 pour accoucher. Le cas impose des dépistages urgents, notamment Ag HBs et VIH, puis explore le risque de transmission mère-enfant du VHB, la définition d’une hépatite B chronique, son suivi virologique, la recherche du VHD et la protection conférée par le vaccin contenant l’Ag HBs.;Dépistages virologiques urgents | immunité rubéole | transmission mère-enfant VHB | voies de transmission VHB | marqueur hépatite B aiguë | définition hépatite B chronique | sérologie VHB chronique | suivi virologique VHB | chronicité selon âge et immunité | virus à rechercher devant VHB chronique | caractéristiques VHD | protection vaccinale Ag HBs;Correction PDF : Q1 BD, Q2 Rubéole, Q3 ABDE, Q4 ABE, Q5 D, Q6 A, Q7 AB, Q8 ADE, Q9 DE, Q10 Hépatite D, Q11 BCD, Q12 AD.;Grossesse non suivie = Ag HBs + TROD VIH en urgence | rubéole = immunité obligatoire | VHB TME surtout accouchement | prévention = séro-vaccination néonatale | VHB = parentéral, materno-fœtal, sexuel | hépatite B aiguë = IgM anti-HBc | VHB chronique = Ag HBs positif >6 mois | suivi = charge virale VHB, Ag HBe, anti-HBe | chronicité surtout enfant/nouveau-né | rechercher VHD | VHD dépend Ag HBs et aggrave VHB | vaccin VHB protège aussi contre VHD;"Ne pas confondre VHB avec VHA/VHE ; ne pas retarder la séro-vaccination ; ne pas définir VHB chronique par un seuil isolé de charge virale ; ne pas oublier VHD chez porteur Ag HBs ; ne pas croire que le vaccin VHB protège seulement contre VHB et pas indirectement contre VHD.";Très haute;Non vu
CAS_2023_S2_BACT_001;2022-2023;S2;infectio 22-23 ses 2.pdf;DP Bactério-hygiène;Bactériologie;Infection urinaire masculine fébrile compliquée d’endocardite à Enterococcus faecalis et colonisation BHRe;Infection urinaire masculine, endocardite infectieuse, Enterococcus faecalis, BHRe;ECBU, hémocultures, cocci Gram positif en diplocoques et chaînettes, Streptococcus gallolyticus, streptocoques oraux, Enterococcus faecalis, porte digestive, antibiothérapie parentérale prolongée, antibioprophylaxie secondaire, E. coli producteur de carbapénèmase, BHRe;Patient de 75 ans hospitalisé pour fièvre, brûlures mictionnelles, difficulté à uriner et urines troubles, sans signe de choc initial. La prise en charge impose ECBU et hémocultures. Après hospitalisation, il présente brutalement un AVC, faisant suspecter une endocardite infectieuse. Les hémocultures et l’ECBU sont positifs à Enterococcus faecalis. Le cas se termine par le dépistage d’une colonisation digestive à Escherichia coli producteur de carbapénèmase dans un contexte de BHRe dans le service.;Prise en charge infection urinaire masculine | règles ECBU | réalisation hémocultures | hygiène prélèvement hémocultures | description Gram | agents d’endocardite selon Gram | porte d’entrée digestive E. faecalis | caractéristiques antibiothérapie endocardite | raison antibioprophylaxie secondaire | mesures d’hygiène BHRe;Correction PDF : Q1 BC, Q2 BCDE, Q3 ABCE, Q4 AB, Q5 cocci à Gram positif en diplocoques et chainettes, Q6 BCD, Q7 C, Q8 ABD, Q9 antécédent d’endocardite infectieuse / risque de récidive, Q10 ADE.;Infection urinaire masculine fébrile = ECBU + hémocultures | ECBU = deuxième jet, Gram rapide, antibiogramme 48h | hémocultures = plusieurs flacons, 10 mL/flacon, Gram si flacon positif | hygiène = gants + nettoyage peau souillée | endocardite = cocci Gram+ diplocoques/chaînettes | évoquer streptocoques/Enterococcus | E. faecalis = porte urinaire ou digestive | traitement endocardite = parentéral, prolongé, forte posologie | antécédent endocardite = prophylaxie gestes dentaires | E. coli carbapénèmase = BHRe, chambre individuelle, tablier soins directs;"Ne pas traiter comme une cystite simple ; ne pas faire Gram directement sur sang avant incubation ; ne pas recapuchonner l’aiguille ; ne pas confondre cocci en chaînettes et staphylocoques en amas ; ne pas oublier la porte digestive d’E. faecalis ; ne pas mettre de masque chirurgical pour une colonisation digestive BHRe.";Très haute;Non vu
CAS_2023_S2_PARA_001;2022-2023;S2;infectio 22-23 ses 2.pdf;DP Parasito-myco;Parasitologie-Mycologie;Voyage au Bénin avec prévention du paludisme, accès palustre puis amibiase hépatique;Paludisme et amibiase hépatique;Bénin, prophylaxie antipaludéenne, moustiquaire, insectifuge, Plasmodium, frottis sanguin, goutte épaisse, critères de gravité, artésunate IV, artéméther-luméfantrine, arténimol-pipéraquine, Entamoeba histolytica, abcès amibien du foie, métronidazole;Patient de 30 ans consultant avant une mission humanitaire d’un mois au Bénin dans des conditions sanitaires précaires. Le cas commence par les conseils de prévention, notamment prophylaxie antipaludéenne et protection anti-vectorielle. Au retour, il consulte pour diarrhée fébrile après mauvaise observance de la chimioprophylaxie, imposant une recherche urgente de paludisme par frottis sanguin et goutte épaisse. Le DP aborde ensuite les critères de gravité, les traitements de l’accès simple et grave, la prophylaxie d’un futur voyage, puis une suspicion d’abcès amibien du foie plusieurs mois plus tard.;Précautions avant voyage | prophylaxie paludisme | caractéristiques du paludisme | espèces Plasmodium humaines | examen urgent retour Bénin | critères cliniques de gravité | critères biologiques de gravité | traitement accès simple | traitement accès grave | prophylaxie futur séjour | diagnostic amibiase hépatique | agent Entamoeba histolytica | traitement métronidazole | transmission Entamoeba histolytica;Correction PDF : Q1 ABDE, Q2 ADE, Q3 ABE, Q4 ABCDE, Q5 E, Q6 CDE, Q7 ADE, Q8 ADE, Q9 A, Q10 C, Q11 ADE, Q12 Entamoeba histolytica, Q13 métronidazole / Flagyl / nitro-imidazolés, Q14 A.;Voyage tropical = hygiène alimentaire + éviter eau douce stagnante + éviter animaux + prophylaxie antipaludéenne | paludisme = protozoaire Plasmodium, potentiellement mortel | espèces humaines = knowlesi, falciparum, vivax, ovale, malariae | fièvre retour zone endémie = frottis + goutte épaisse en urgence | gravité clinique = convulsions, hémorragie, ictère | gravité biologique = hyperlactatémie, hypoxémie, créatinine élevée | accès grave = artésunate IV | prophylaxie future = même prophylaxie si mauvaise observance | amibiase hépatique = échographie, sérologie, PCR ponction | agent = Entamoeba histolytica | traitement = métronidazole | transmission = aliments/eau souillés;"Ne pas oublier le paludisme devant diarrhée fébrile au retour ; ne pas confondre Aedes et Anopheles ; ne pas mettre hyperéosinophilie comme critère de gravité du paludisme ; ne pas croire qu’un accès palustre immunise ; ne pas confondre amibiase avec transmission vectorielle ou bilharziose ; ne pas confondre Entamoeba histolytica et Entamoeba dispar.";Très haute;Non vu
CAS_2024_S1_BACT_001;2023-2024;S1;infectio 23_24 session 1.pdf;DP1 Bactério;Bactériologie;Diarrhée glairo-sanglante au retour d’Algérie, shigellose, SHU à STEC puis bactériémie à SARM;Shigellose, STEC/SHU, SARM;Diarrhée glairo-sanglante, coproculture, Shigella, BLSE, ciprofloxacine, E. coli producteur de Shiga-toxine, PCR selles, SHU, Staphylococcus aureus, SARM, vancomycine, précautions Contact, portage nasal;Enfant de 3 ans revenant d’Algérie avec fièvre et diarrhée glairo-sanglante. Le cas évoque une shigellose confirmée par coproculture, puis une Shigella sonnei multirésistante aux bêta-lactamines avec mécanisme BLSE. Une semaine plus tard, l’enfant présente insuffisance rénale, thrombopénie et anémie hémolytique, orientant vers un SHU dû à un E. coli producteur de Shiga-toxine. Après hospitalisation, une hémoculture devient positive à cocci Gram positif en amas, identifiés comme SARM.;Agents compatibles diarrhée glairo-sanglante | confirmation shigellose | bactéries de coproculture standard | mécanisme BLSE | mécanisme ciprofloxacine | agent du SHU | diagnostic STEC par PCR | cocci Gram positif en amas | traitement SARM | précautions complémentaires SARM | site de portage S. aureus;"Correction PDF : Q1 AC, Q2 D, Q3 deux parmi Yersinia/Campylobacter/Salmonella, Q4 BLSE, Q5 AD, Q6 B, Q7 PCR, Q8 E, Q9 A, Q10 B, Q11 fosses nasales antérieures / nez / prélèvement de narine ; nasopharynx non accepté.";Diarrhée glairo-sanglante = Shigella ou Entamoeba histolytica | shigellose = coproculture | coproculture standard = Salmonella/Campylobacter/Yersinia | résistance C3G sensible carbapénèmes = BLSE | ciprofloxacine = inhibition ADN gyrase/topoisomérase | SHU = E. coli producteur de Shiga-toxine | STEC = PCR selles | cocci Gram+ amas = Staphylococcus aureus | SARM = vancomycine | SARM = précautions Contact | portage = fosses nasales antérieures;"Ne pas confondre diarrhée invasive et toxinique ; ne pas confondre BLSE et carbapénémase ; ne pas attribuer le SHU à ETEC ; ne pas traiter SARM par bêta-lactamines classiques ; ne pas classer SARM comme BHRe ; ne pas répondre nasopharynx pour le portage.";Très haute;Non vu
CAS_2024_S1_PARA_001;2023-2024;S1;infectio 23_24 session 1.pdf;DP2 Parasito;Parasitologie-Mycologie;Retour de Côte d’Ivoire avec suspicion de paludisme, hyperéosinophilie, giardiose et schistosomose;Paludisme, hyperéosinophilie, giardiose, schistosomose;Côte d’Ivoire, fièvre au retour, anophèle, Plasmodium falciparum, frottis sanguin, goutte épaisse, test antigénique rapide, critères de gravité, hyperéosinophilie, Giardia intestinalis, métronidazole, Schistosoma, eaux douces;Jeune homme de 20 ans revenu depuis deux jours d’un séjour de trois semaines en Côte d’Ivoire, présentant une sensation de fièvre et des troubles gastriques. Le cas commence par les conseils de prévention avant voyage, la vaccination obligatoire fièvre jaune et la chimioprophylaxie du paludisme. Comme il n’a pas suivi les recommandations, un accès palustre est suspecté. Après traitement d’un accès simple à P. falciparum, une hyperéosinophilie est explorée, révélant Giardia intestinalis et une sérologie schistosomose positive.;Conseils avant voyage | vaccination obligatoire destination | chimioprophylaxie paludisme | transmission paludisme | cycle P. falciparum | symptômes paludisme | diagnostic biologique paludisme | critères paludisme grave | parasitoses avec hyperéosinophilie | bilan hyperéosinophilie | traitement giardiose | genre de la schistosomose | contamination schistosomose;Correction PDF : Q1 ABCE, Q2 A, Q3 AC, Q4 piqûre de moustiques infectés / anophèle femelle, Q5 A, Q6 ABCDE, Q7 BDE, Q8 ABCDE, Q9 AC, Q10 ACE, Q11 B, Q12 Schistosoma, Q13 E.;Voyage Côte d’Ivoire = fièvre jaune obligatoire + prévention paludisme + hygiène alimentaire + éviter eau douce | paludisme = piqûre d’anophèle, cycle hépatique et sanguin | symptômes = fièvre, frissons, céphalées, fatigue, troubles digestifs | diagnostic = frottis, goutte épaisse, test antigénique rapide | gravité = hypoglycémie, coma, détresse respiratoire, anémie sévère, hémorragie/CIVD | hyperéosinophilie = schistosomose/anguillulose | bilan = urines 24h, selles x3, sérologie schistosomose | giardiose = métronidazole | schistosomose = Schistosoma, baignade en eau douce;"Ne pas utiliser sérologie pour diagnostiquer un accès palustre aigu ; ne pas oublier les troubles digestifs dans le paludisme ; ne pas confondre hyperéosinophilie avec toxoplasmose/amibiase ; ne pas traiter Giardia par ivermectine ou fluconazole ; ne pas confondre schistosomose avec transmission moustique ou féco-orale.";Très haute;Non vu
CAS_2024_S1_VIRO_001;2023-2024;S1;infectio 23_24 session 1.pdf;DP3 Virologie;Virologie;Grossesse non immunisée contre la rubéole, prévention vaccinale et dépistage HPV/cancer du col;Rubéole grossesse, HPV, dépistage cancer du col;Rubéole, Ag HBs, syphilis, toxoplasmose, VIH recommandé, IgG rubéole, IgM rubéole, ELISA, rubéole congénitale, vaccin ROR, frottis cervico-vaginal, cytologie, PCR HPV, vaccination HPV;Madame MAR, 28 ans, enceinte de 14 SA de son premier enfant, se présente à sa première consultation prénatale. Le cas teste les sérologies obligatoires, la place du VIH comme sérologie recommandée, l’immunité rubéole, la conduite devant une absence d’immunité, le vaccin ROR et les risques de rubéole congénitale. Le suivi prénatal révèle aussi l’absence de dépistage du cancer du col, ce qui introduit les questions sur HPV, cytologie, PCR HPV et vaccination.;Sérologies obligatoires première consultation | sérologie virale recommandée | vaccins disponibles | sérologie rubéole | risque rubéole congénitale | conduite si non immunisée | vaccin rubéole | clinique primo-infection rubéolique | cancer col utérus | dépistage 25-30 ans | dépistage >30 ans | vaccination HPV | infections HPV;Correction PDF : Q1 ABCE, Q2 VIH, Q3 DE, Q4 ADE, Q5 ABDE, Q6 A, Q7 ABE, Q8 BCD, Q9 CE, Q10 examen cytologique, Q11 PCR HPV, Q12 ACD, Q13 ABDE.;Grossesse = rubéole, Ag HBs, syphilis, toxoplasmose obligatoires selon correction | VIH = recommandé | vaccins = VHB et rubéole | rubéole = IgG, ELISA, tube sec | non immunisée = contrôle à 20 SA, pas vaccination immédiate | ROR = vaccin combiné vivant atténué obligatoire enfant | primo-rubéole = contagieuse avant éruption, maculo-papuleuse, gouttelettes | HPV = quasi-totalité cancers col | dépistage = frottis, cytologie 25-30 ans, PCR HPV >30 ans | vaccination HPV recommandée filles et garçons 11-14 ans | persistance HPV haut risque = facteur majeur de cancer;"Ne pas confondre obligatoire et recommandé pour VIH ; ne pas vacciner rubéole pendant la grossesse ; ne pas dire qu’IgM exclut une primo-infection ; ne pas inverser le risque de rubéole congénitale au premier trimestre ; ne pas faire PCR HPV chez toutes les femmes ; ne pas attribuer les cancers du col au HPV 6.";Très haute;Non vu
CAS_2024_S2_PARA_001;2023-2024;S2;infectio 23-24 session 2.pdf;DP1 Parasito-myco;Parasitologie-Mycologie;Patient VIH avancé avec suspicion de cryptococcose, pneumocystose et candidose oropharyngée;VIH, cryptococcose, pneumocystose, candidose oropharyngée;VIH CD4 50, infections opportunistes, Cryptococcus neoformans, LCS, encre de Chine, antigène cryptococcique, voie respiratoire, scanner en verre dépoli, pneumocystose, LBA, PCR, bêta-D-glucanes, Candida albicans, Sabouraud, MALDI-TOF, nystatine;Patient de 45 ans séropositif pour le VIH avec un taux de CD4 à 50 cellules/mm3, consultant pour toux fébrile depuis deux semaines et céphalées persistantes. L’examen ne retrouve pas de raideur méningée, mais une infection opportuniste est suspectée. Le bilan comprend scanner thoracique, ponction lombaire et lavage broncho-alvéolaire. Le cas explore la cryptococcose neuroméningée, la pneumocystose devant des images en verre dépoli, puis une candidose oropharyngée devant brûlures buccales et plaques blanchâtres.;Pathologies fongiques opportunistes suspectables | diagnostic cryptococcose sur LCS | caractéristiques Cryptococcus neoformans | voie de contamination cryptococcose | scanner en verre dépoli | infection fongique pulmonaire probable | diagnostic Pneumocystis sur LBA | particularités bêta-D-glucanes | agent candidose oropharyngée | morphologie Candida albicans | examens de laboratoire Candida | traitement candidose oropharyngée;Correction PDF : Q1 ACE, Q2 ACD, Q3 CD, Q4 C, Q5 B, Q6 Pneumocystose, Q7 AD, Q8 ABDE, Q9 Candida albicans, Q10 DE, Q11 ADE, Q12 D.;VIH CD4 50 = infections opportunistes | cryptococcose = LCS, encre de Chine, antigène spécifique, PCR, levure capsulée, voie respiratoire | verre dépoli chez VIH = pneumocystose | Pneumocystis sur LBA = examen direct + PCR, pas culture | bêta-D-glucanes = positifs pneumocystose/candidose, pas cryptococcose | candidose oropharyngée = Candida albicans | Candida = pseudo-filaments + levures bourgeonnantes | labo = culture Sabouraud, MALDI-TOF, antifongigramme | traitement = amphotéricine B locale ou nystatine;"Ne pas utiliser bêta-D-glucanes pour cryptococcose ; ne pas confondre Pneumocystis avec Aspergillus/galactomannane ; ne pas proposer culture pour Pneumocystis ; ne pas confondre Candida avec Cryptococcus capsulé ou Mucorales ; ne pas traiter candidose oropharyngée par corticoïdes, cotrimoxazole ou terbinafine.";Très haute;Non vu
